timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
11.216,0.2529,0,4,0.3566
11.232,0.2508,0,4,0.3561
11.247,0.2484,0,4,0.3556
11.262,0.2481,0,4,0.3552
11.278,0.2469,0,4,0.3547
11.295,0.2496,0,4,0.3541
11.312,0.2462,0,4,0.3536
11.327,0.2477,0,4,0.3531
11.343,0.2473,0,4,0.3527
11.358,0.2461,0,4,0.3522
11.375,0.2421,0,4,0.3517
11.390,0.2393,0,4,0.3512
11.406,0.2428,0,4,0.3507
11.424,0.2409,0,4,0.3501
11.441,0.2433,0,4,0.3496
11.459,0.2407,0,4,0.3491
11.478,0.2456,0,4,0.3485
11.495,0.2444,0,4,0.3480
11.511,0.2470,0,4,0.3475
11.528,0.2479,0,4,0.3470
11.544,0.2488,0,4,0.3465
11.560,0.2471,0,4,0.3460
11.576,0.2489,0,4,0.3455
11.592,0.2525,0,4,0.3451
11.608,0.2515,0,4,0.3446
11.624,0.2485,0,4,0.3441
11.641,0.2476,0,4,0.3436
11.658,0.2465,0,4,0.3431
11.674,0.2485,0,4,0.3426
11.691,0.2500,0,4,0.3421
11.708,0.2490,0,4,0.3417
11.723,0.2490,0,4,0.3412
11.739,0.2494,0,4,0.3407
11.755,0.2480,0,4,0.3403
11.771,0.2480,0,4,0.3398
11.788,0.2516,0,4,0.3393
11.807,0.2490,0,4,0.3388
11.825,0.2492,0,4,0.3383
11.842,0.2475,0,4,0.3378
11.860,0.2494,0,4,0.3373
11.878,0.2496,0,4,0.3368
11.898,0.2491,0,4,0.3362
11.915,0.2415,0,4,0.3357
11.933,0.2468,0,4,0.3352
11.950,0.2514,0,4,0.3347
11.966,0.2478,0,4,0.3343
11.982,0.2475,0,4,0.3338
11.998,0.2462,0,4,0.3334
12.014,0.2459,0,4,0.3329
12.030,0.2495,0,4,0.3325
12.046,0.2513,0,4,0.3321
12.062,0.2507,0,4,0.3316
12.078,0.2562,0,4,0.3312
12.095,0.2527,0,4,0.3307
12.111,0.2540,0,4,0.3303
12.127,0.2529,0,4,0.3299
12.143,0.2498,0,4,0.3294
12.159,0.2509,0,4,0.3290
12.177,0.2504,0,4,0.3285
12.193,0.2500,0,4,0.3280
12.210,0.2506,0,4,0.3276
12.227,0.2507,0,4,0.3271
12.243,0.2507,0,4,0.3267
12.260,0.2527,0,4,0.3263
12.277,0.2507,0,4,0.3258
12.294,0.2519,0,4,0.3254
12.310,0.2498,0,4,0.3249
